Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2023","Public Universities","Angelo State University","Academic","Master's","13 - Education","13110200 - College Student Counseling and Personnel Services","30",
"2023","Public Universities","Angelo State University","Academic","Master's","23 - English Language and Literature/Letters","23010100 - English Language and Literature, General","6",
"2023","Public Universities","Angelo State University","Academic","Master's","26 - Biological and Biomedical Sciences","26010100 - Biology/Biological Sciences, General","4",
"2023","Public Universities","Angelo State University","Academic","Master's","30 - Multi/Interdisciplinary Studies","30710200 - Business Analytics","6",
"2023","Public Universities","Angelo State University","Academic","Master's","31 - Parks, Recreation, Leisure and Fitness Studies","31050400 - Sport and Fitness Administration/Management","21",
"2023","Public Universities","Angelo State University","Academic","Master's","42 - Psychology","42280300 - Counseling Psychology","22",
"2023","Public Universities","Angelo State University","Academic","Master's","42 - Psychology","42280400 - Industrial and Organizational Psychology","10",
"2023","Public Universities","Angelo State University","Academic","Master's","42 - Psychology","42281300 - Applied Psychology","23",
"2023","Public Universities","Angelo State University","Academic","Master's","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010400 - Criminal Justice/Safety Studies","7",
"2023","Public Universities","Angelo State University","Academic","Master's","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43030100 - Homeland Security","16",
"2023","Public Universities","Angelo State University","Academic","Master's","44 - Public Administration and Social Service Professions","44070100 - Social Work","42",
"2023","Public Universities","Angelo State University","Academic","Master's","45 - Social Sciences","45090200 - National Security Policy Studies","74",
"2023","Public Universities","Angelo State University","Academic","Master's","51 - Health Professions and Related Programs","51091300 - Athletic Training/Trainer","9",
"2023","Public Universities","Angelo State University","Academic","Master's","51 - Health Professions and Related Programs","51220100 - Public Health, General","3",
"2023","Public Universities","Angelo State University","Academic","Master's","51 - Health Professions and Related Programs","51320300 - Nursing Education","8",
"2023","Public Universities","Angelo State University","Academic","Master's","51 - Health Professions and Related Programs","51380500 - Family Practice Nurse/Nursing","18",
"2023","Public Universities","Angelo State University","Academic","Master's","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","112",
"2023","Public Universities","Angelo State University","Academic","Master's","52 - Business, Management, Marketing and Related Support Services","52030100 - Accounting","11",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01000000 - Agriculture, General","25",
