Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15120200 - Computer Technology/Computer Systems Technology","31",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","11",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47020100 - Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technicia","14",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060300 - Autobody/Collision and Repair Technology/Technician","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","48 - Precision Production","48050700 - Tool and Die Technology/Technician","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","50 - Visual and Performing Arts","50040200 - Commercial and Advertising Art","22",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","51 - Health Professions and Related Programs","51070700 - Health Information/Medical Records Technology/Technician","12",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","51 - Health Professions and Related Programs","51080100 - Medical/Clinical Assistant","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52040200 - Executive Assistant/Executive Secretary","32",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","01 - Agriculture, Agriculture Operations, and Related Sciences","01010100 - Agricultural Business and Management, General","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","11 - Computer and Information Sciences and Support Services","11090100 - Computer Systems Networking and Telecommunications","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","12 - Personal and Culinary Services","12050800 - Institutional Food Workers","6",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15030500 - Telecommunications Technology/Technician","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15100100 - Construction Engineering Technology/Technician","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15120200 - Computer Technology/Computer Systems Technology","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","47 - Mechanic and Repair Technologies/Technicians","47020100 - Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technicia","15",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060300 - Autobody/Collision and Repair Technology/Technician","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","48 - Precision Production","48050100 - Machine Tool Technology/Machinist","20",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","48 - Precision Production","48050700 - Tool and Die Technology/Technician","6",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51080100 - Medical/Clinical Assistant","16",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Certificate","52 - Business, Management, Marketing and Related Support Services","52040100 - Administrative Assistant and Secretarial Science, General","11",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","11 - Computer and Information Sciences and Support Services","11080100 - Web Page, Digital/Multimedia and Information Resources Design","6",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","11 - Computer and Information Sciences and Support Services","11100200 - System, Networking, and LAN/WAN Management/Manager","8",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","11 - Computer and Information Sciences and Support Services","11100300 - Computer and Information Systems Security/Information Assurance","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040100 - Biomedical Technology/Technician","14",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040400 - Instrumentation Technology/Technician","35",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15061200 - Industrial Technology/Technician","9",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15130200 - CAD/CADD Drafting and/or Design Technology/Technician","5",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","46 - Construction Trades","46030300 - Lineworker","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","12",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","48 - Precision Production","48050100 - Machine Tool Technology/Machinist","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","52 - Business, Management, Marketing and Related Support Services","52020400 - Office Management and Supervision","8",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Associate","52 - Business, Management, Marketing and Related Support Services","52020800 - E-Commerce/Electronic Commerce","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15061200 - Industrial Technology/Technician","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Certificate","46 - Construction Trades","46030300 - Lineworker","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Certificate","48 - Precision Production","48050100 - Machine Tool Technology/Machinist","11",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Certificate","48 - Precision Production","48050800 - Welding Technology/Welder","18",
"2014","Texas State Technical Colleges","Texas State Technical College in Marshall","Technical","Certificate","52 - Business, Management, Marketing and Related Support Services","52020400 - Office Management and Supervision","14",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","11 - Computer and Information Sciences and Support Services","11080100 - Web Page, Digital/Multimedia and Information Resources Design","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","11 - Computer and Information Sciences and Support Services","11100100 - Network and System Administration/Administrator","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","11 - Computer and Information Sciences and Support Services","11100300 - Computer and Information Systems Security/Information Assurance","9",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","12 - Personal and Culinary Services","12050300 - Culinary Arts/Chef Training","19",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15050500 - Solar Energy Technology/Technician","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15050700 - Environmental Engineering Technology/Environmental Technology","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15061300 - Manufacturing Engineering Technology/Technician","18",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15070100 - Occupational Safety and Health Technology/Technician","25",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15110200 - Survey Technology/ Surveying","9",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15130100 - Drafting and Design Technology/Technician, General","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","41 - Science Technologies/Technicians","41020500 - Nuclear/Nuclear Power Technology/Technician","9",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","47 - Mechanic and Repair Technologies/Technicians","47060900 - Avionics Maintenance Technology/Technician","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","49 - Transportation and Materials Moving","49010200 - Airline/Commercial/Professional Pilot and Flight Crew","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","49 - Transportation and Materials Moving","49010500 - Air Traffic Controller","52",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","50 - Visual and Performing Arts","50040200 - Commercial and Advertising Art","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","50 - Visual and Performing Arts","50040900 - Graphic Design","11",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Associate","50 - Visual and Performing Arts","50041100 - Game and Interactive Media Design","12",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","11 - Computer and Information Sciences and Support Services","11020100 - Computer Programming/Programmer, General","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","11 - Computer and Information Sciences and Support Services","11100200 - System, Networking, and LAN/WAN Management/Manager","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","11 - Computer and Information Sciences and Support Services","11100300 - Computer and Information Systems Security/Information Assurance","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","11 - Computer and Information Sciences and Support Services","11100600 - Computer Support Specialist","38",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","12 - Personal and Culinary Services","12050300 - Culinary Arts/Chef Training","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15040300 - Electromechanical Technology/Electromechanical Engineering Technology","11",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15050300 - Energy Management and Systems Technology/Technician","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15080500 - Mechanical Engineering/Mechanical Technology/Technician","22",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","41 - Science Technologies/Technicians","41020500 - Nuclear/Nuclear Power Technology/Technician","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","46 - Construction Trades","46000000 - Construction Trades, General","2",
